Time_sample_min,Time_h,PV_available_kW,Feeder_nominal_P_demand_kW,BESS_seed_P_ch_kW,BESS_seed_P_dis_kW,BESS_seed_P_net_kW,BESS_seed_SOC_pu
30,0.5,0.0,15.664,0.0,0.0,0.0,0.5
60,1.0,0.0,11.51,0.0,0.0,0.0,0.5
90,1.5,0.0,10.378,0.0,0.0,0.0,0.5
120,2.0,0.0,11.028,0.0,0.0,0.0,0.5
150,2.5,0.0,9.438,0.0,0.0,0.0,0.5
180,3.0,0.0,10.008,0.0,0.0,0.0,0.5
210,3.5,0.0,12.638,0.0,0.0,0.0,0.5
240,4.0,0.8028310228511782,10.408,0.0,0.0,0.0,0.5
270,4.5,3.34813146317036,9.298,0.0,0.0,0.0,0.5
300,5.0,7.6124904720528,10.438,0.0,0.0,0.0,0.5
330,5.5,16.21467298000961,11.388,0.0,0.0,0.0,0.5
360,6.0,32.04062632992235,11.461,0.0,0.0,0.0,0.5
390,6.5,67.54117105030791,12.3234,0.0,0.0,0.0,0.5
420,7.0,81.2359820112237,13.8002,0.0,0.0,0.0,0.5
450,7.5,139.78309169335256,17.562099999999997,0.0,0.0,0.0,0.5
480,8.0,137.80699617541745,30.5205,0.0,0.0,0.0,0.5
510,8.5,157.78637576376747,23.3315,0.0,0.0,0.0,0.5
540,9.0,172.4434812296132,35.0474,0.0,0.0,0.0,0.5
570,9.5,185.00628302110874,39.471199999999996,0.0,0.0,0.0,0.5
600,10.0,119.41607162306806,39.494699999999995,0.0,0.0,0.0,0.5
630,10.5,229.74574207171457,42.915699999999994,40.0,0.0,-40.0,0.5
660,11.0,235.99030875364213,50.0505,40.0,0.0,-40.0,0.518
690,11.5,232.58844417352725,32.4315,40.0,0.0,-40.0,0.536
720,12.0,137.66254700039707,23.403,0.0,0.0,0.0,0.554
750,12.5,86.5071933071255,25.086,0.0,0.0,0.0,0.554
780,13.0,63.43607803724001,45.933,0.0,0.0,0.0,0.554
810,13.5,220.84312489531777,36.0845,40.0,0.0,-40.0,0.554
840,14.0,219.0145041579911,41.0365,0.0,0.0,0.0,0.5720000000000001
870,14.5,209.104784648659,35.203,0.0,0.0,0.0,0.5720000000000001
900,15.0,169.58967598894523,39.21,0.0,0.0,0.0,0.5720000000000001
930,15.5,108.38617806758464,25.9245,0.0,0.0,0.0,0.5720000000000001
960,16.0,167.97181180257934,45.25,0.0,0.0,0.0,0.5720000000000001
990,16.5,124.58044620067777,41.6925,0.0,0.0,0.0,0.5720000000000001
1020,17.0,58.8676590442051,60.6611,0.0,0.0,0.0,0.5720000000000001
1050,17.5,21.38615526279812,60.3799,0.0,0.0,0.0,0.5720000000000001
1080,18.0,35.72629562474032,50.6114,0.0,0.0,0.0,0.5720000000000001
1110,18.5,34.88048921037201,61.787,0.0,0.0,0.0,0.5720000000000001
1140,19.0,14.676355200650205,49.4985,0.0,0.0,0.0,0.5720000000000001
1170,19.5,6.556644238336596,40.435,0.0,0.0,0.0,0.5720000000000001
1200,20.0,1.4787101336823925,56.3995,0.0,0.0,0.0,0.5720000000000001
1230,20.5,0.5138621598622417,47.399,0.0,0.0,0.0,0.5720000000000001
1260,21.0,0.0,34.112,0.0,32.4,32.4,0.5720000000000001
1290,21.5,0.0,45.046,0.0,32.4,32.4,0.554
1320,22.0,0.0,39.2842,0.0,32.4,32.4,0.536
1350,22.5,0.0,34.0765,0.0,0.0,0.0,0.518
1380,23.0,0.0,34.936,0.0,32.4,32.4,0.518
1410,23.5,0.0,26.0865,0.0,0.0,0.0,0.5
1440,24.0,0.0,27.1535,0.0,0.0,0.0,0.5
