,CentralSolar_Available_P_W
30,0.0
60,0.0
90,0.0
120,0.0
150,0.0
180,0.0
210,0.0
240,802.8310228511782
270,3348.13146317036
300,7612.490472052799
330,16214.672980009611
360,32040.626329922346
390,67541.17105030791
420,81235.98201122369
450,139783.09169335256
480,137806.99617541744
510,157786.37576376746
540,172443.48122961321
570,185006.28302110874
600,119416.07162306807
630,229745.74207171457
660,235990.30875364214
690,232588.44417352724
720,137662.54700039705
750,86507.1933071255
780,63436.07803724001
810,220843.12489531777
840,219014.5041579911
870,209104.784648659
900,169589.67598894524
930,108386.17806758464
960,167971.81180257935
990,124580.44620067778
1020,58867.659044205095
1050,21386.15526279812
1080,35726.29562474032
1110,34880.48921037201
1140,14676.355200650205
1170,6556.644238336597
1200,1478.7101336823926
1230,513.8621598622417
1260,0.0
1290,0.0
1320,0.0
1350,0.0
1380,0.0
1410,0.0
1440,0.0
